playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8482487,2025,Jakub Dobes,MTL,G,5on5,18,52039.0,40.49,32.0,931.0,30.62,52.0,123.74,87.0,475.74,398.0,11.94,1.0,250.58,261.0,182.25,210.0,38.65,473.0,133.0,38.0,14.41,15.7,10.38,18.0,11.0,3.0,287.0,6.0,3.0
8482487,2025,Jakub Dobes,MTL,G,4on5,18,5878.0,16.45,14.0,197.0,9.23,11.0,24.84,15.0,114.55,92.0,0.38,0.0,65.7,78.0,33.94,35.0,15.65,109.0,25.0,20.0,3.03,2.92,10.49,3.0,4.0,7.0,43.0,2.0,1.0
8482487,2025,Jakub Dobes,MTL,G,5on4,18,5731.0,0.64,0.0,14.0,0.28,0.0,1.3,1.0,7.68,6.0,2.6,1.0,2.38,2.0,5.16,7.0,0.61,6.0,4.0,0.0,0.18,0.46,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,other,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,all,1,3749.0,3.49,4.0,70.0,2.32,3.0,9.85,14.0,37.28,38.0,0.83,0.0,20.0,14.0,14.07,15.0,3.4,38.0,9.0,4.0,1.22,1.09,1.19,1.0,2.0,1.0,19.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,5on5,1,3244.0,2.56,2.0,57.0,1.69,3.0,8.14,12.0,28.52,29.0,0.75,0.0,14.69,11.0,10.94,11.0,2.49,31.0,4.0,4.0,0.87,0.51,1.19,1.0,0.0,1.0,18.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,4on5,1,426.0,0.92,2.0,12.0,0.6,0.0,1.59,2.0,7.98,8.0,0.03,0.0,5.06,3.0,2.58,4.0,0.9,6.0,5.0,0.0,0.34,0.58,0.0,0.0,2.0,0.0,1.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,5on4,1,60.0,0.01,0.0,1.0,0.03,0.0,0.12,0.0,0.79,1.0,0.06,0.0,0.26,0.0,0.55,0.0,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,other,1,120.0,0.08,0.0,1.0,0.05,0.0,0.14,1.0,0.7,1.0,0.02,0.0,0.34,0.0,0.37,0.0,0.08,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,all,1,799.0,1.39,0.0,10.0,0.43,0.0,1.15,3.0,6.39,6.0,0.32,0.0,3.35,4.0,2.48,2.0,1.28,5.0,1.0,3.0,0.25,0.09,1.04,0.0,0.0,0.0,1.0,0.0,0.0
